Experiment,SubjectID,Schedule,TestName,MPoint,SessionName,SessionID,LaunchTime,StartTime,ResultTime,GMTOffset,Exception,Remark,block,task,trial,symbol,image,angle,response,key,rt
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,31,R,mirrored,120,correct,mirrored,1023.7
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,32,4,mirrored,300,incorrect,regular,1445
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,33,4,regular,180,late,NA,0
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,34,4,mirrored,0,correct,mirrored,919.6
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,35,R,regular,0,correct,regular,608.4
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,36,R,regular,120,correct,regular,818.8
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,37,2,regular,60,correct,regular,522.8
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,38,4,mirrored,180,correct,mirrored,1518.8
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,39,4,regular,120,correct,regular,1035.2
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,40,F,mirrored,0,correct,mirrored,890.9
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,41,2,regular,300,correct,regular,647.9
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,42,2,mirrored,300,correct,mirrored,828.4
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,43,4,mirrored,240,correct,mirrored,1009.9
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,44,F,mirrored,180,correct,mirrored,1249
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,45,2,mirrored,180,incorrect,regular,893.6
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,46,F,regular,180,correct,regular,1459.2
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,47,4,mirrored,60,correct,mirrored,863.6
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,48,4,regular,240,correct,regular,713.4
